费用名称（中）,费用名称（英文）,缩写,费用发生的服务段,适用的服务(委托类型）,最终由谁收取（供应商),对应的结算费用编码,对应的CW1费用编码,描述（中文）,描述（英文）,是否异常费用,计费单位,对应的财务科目,特殊适用范围说明,父记录
吊装费,,,,,,SEA01042,,,,,,,,港口/码头/场站作业费用
搬倒费,,,,,,"WMSN088 , 0224",,,,,,,,港口/码头/场站作业费用
危险品监护费,,,,,,"55184   , 55184",,,,,,,,港口/码头/场站作业费用
码头操作费,,THC,,,,55119,,,,,,,,港口/码头/场站作业费用
目的港码头操作费,,DTHC,,,,"SEAN074 , 55119, SEA01010, 55156, OP009004",,,,,,,,码头操作费
启运港码头操作费,,OTHC,,,,"SEA01002, 55119, SEA01025",OITF,,,,,,,码头操作费
落箱费,,,,,,"55307, 655251, 655252",,,,,,,,港口/码头/场站作业费用
场站费,,CFS,,,,"WMS01012, 655254",,,,,,,,港口/码头/场站作业费用
转栈费,,,,,,SEA01074,,,,,,,,港口/码头/场站作业费用
内支线港杂费,,,,,,,,,,,,,,港口/码头/场站作业费用
安检费,,,,,,WMS01009,,,,,,,,港口/码头/场站作业费用
代垫码头杂费,,,,,,55079,,,,,,,,港口/码头/场站作业费用
代垫机场杂费,,,,,,55847   ,,,,,,,,港口/码头/场站作业费用
代垫铁路箱站杂费,,,,,,55778   ,,,,,,,,港口/码头/场站作业费用
港口加急费,,,,,,"OPN052  , 55716, 55190, OPN052",,,,,,,,港口/码头/场站作业费用
港务费,,,,,,"CSN051  , CSN051",,,,,,,,港口/码头/场站作业费用
疏港费,,,,,,"SEA01075, 55227",,,,,,,,港口/码头/场站作业费用
三检费,,,,,,SEAN075 ,,,,,,,,港口/码头/场站作业费用
磁检费,,,,,,655226,,,,,,,,港口/码头/场站作业费用
漏装费,,,,,,655250,,,,,,,,港口/码头/场站作业费用
码头堆存费,,,,,,655260,,,,,,,,港口/码头/场站作业费用
机场地面补贴,,,,,,"55250   , 55250",,,,,,,,港口/码头/场站其他费用
代垫港府规费,,,,,,"55138   , 55138",,,,,,,,港口/码头/场站其他费用
机坪操作费,,,,,,55304,,,,,,,,港口/码头/场站其他费用
港口/码头/场站设施费用,,,,,,,,,,,,,,港口/码头/场站费用
港口设施保安费,,ISPS,,,,"55254   , 55254",,,,,,,,港口/码头/场站设施费用
制冷费,,,,,,SEA01007,,,,,,,,港口/码头/场站设施费用
超期制冷费,,,,,,SEA01034,,,,,,,,港口/码头/场站设施费用
场地使用费,,,,,,"55835   , CSN059",,,,,,,,港口/码头/场站设施费用
吊机费,,,,,,SEA01057,TFHC,,,,,,,港口/码头/场站设施费用
基础设施费,,,,,,55315,,,,,,,,港口/码头/场站设施费用
港口/码头/场站其他费用,,,,,,,,,,,,,,港口/码头/场站费用
海运费,,OF,跨境运输,海运跨境运输,船公司,"SEAN079, 0031",FRT,,,,,,,跨境运费
空运费,,,跨境运输,空运跨境运输,航空公司,AIR01001,FRT,,,,,,,跨境运费
铁路运费,,,跨境运输,铁运跨境运输,铁路公司,SEAN083,,,,,,,,跨境运费
亏舱费/空舱费,,DF,,"海运跨境运输, 空运跨境运输, 铁运跨境运输","船公司, 航空公司, 铁路公司","SEA01025, 655249",,,,,,,,跨境运费
跨境卡车运费,,,,卡车跨境运输,车队,,,,,,,,,跨境运费
上海码头费,,SPS,,,码头/场站/机场,,,,,,,,,港口附加费
港口拥挤附加费,,PCS,,,船公司,550006,,,,,,,,港口附加费
天津码头费,,TTS,,,码头/场站/机场,,,,,,,,,港口附加费
货物设施费,,CFC,,,码头/场站/机场,,,,,,,,,港口附加费
码头附加费,,WF,,,码头/场站/机场,"55278, 55308   , 55660",,,,,,,,港口附加费
港口/码头/场站费用,,,,,,,,,,,,,,
装卸费用,,,,,,"55764, 55765, 55767, 20070703",,,,,,,,
装货费用,,,,,,,,,,,,,,装卸费用
理货费,,,,,,"WMS01002, 55722",WSTF,,,,,,,装货费用
装箱费,,,,,,"SEAN086 , 55762",,,,,,,,装货费用
出库装卸费,,,,,,"WMS01015, CSN046",WHOUT,,,,,,,装货费用
卸货费用,,,,,,,,,,,,,,装卸费用
拆箱费,,,,,,"WMSN089 , 55226, 55307",,,,,,,,卸货费用
入库装卸费,,,,,,WMS01016,,,,,,,,卸货费用
非跨境运输费用,,,,,,,,,,,,,,
货物附加费用,,,,,,,,,,,,,,
基本运输费用,,,,,,,,,,,,,,非跨境运输费用
送货费,,,,,,"OP001004, 0007, 55272, 55145, 55200",DCART,,,,,,,基本运输费用
提货费,,,,,,"OP001011, 05011105, 55201",OCART,,,,,,,基本运输费用
陆运费,,,,,,"TR001012, 0039, 11002, 55275",TCTGL,,,,,,,基本运输费用
短驳费,,,,,,TR001009,,,,,,,,基本运输费用
放空费/空返费,,,,,,"TR001003, 05011201, 8012, 55189",,,,,,,,基本运输费用
还箱费,,,,,,655239  ,,,Redelivery,,,,,基本运输费用
预提费,,,,,,55277   ,,,,,,,,基本运输费用
快递费,,,,,,"OP001009, 655248",ADPOST,,,,,,,基本运输费用
代垫快递费,,,,,,55836   ,,,,,,,,基本运输费用
卡班转运费,,,,,,"55180   , 55180, SEA01016",,,,,,,,基本运输费用
